Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
10138_g_at	YLR202C questionable ORF	Protein required for ubiquinone (coenzyme Q) biosynthesis and respiratory growth; localizes to the matrix face of the mitochondrial inner membrane in a large complex with ubiquinone biosynthetic enzymes	COQ9	YLR201C /// YLR202C	O13531 /// Q05779	S000004191 /// S000004192
10139_i_at	YLR202C questionable ORF	---	---	YLR202C	O13531	S000004192
10140_r_at	YLR202C questionable ORF	---	---	YLR202C	O13531	S000004192
10141_at	YLR203C Protein involved in maturation of COX1 and COB mRNA	Nuclear encoded protein required for translation of COX1 mRNA; binds to Cox1 protein	MSS51	YLR203C	P32335	S000004193
10142_at	YLR204W protein of unknown function	"Mitochondrial inner membrane protein, required for accumulation of spliced COX1 mRNA; may have an additional role in translation of COX1 mRNA"	QRI5	YLR204W	P32344	S000004194
10143_at	YLR205C hypothetical protein	"ER localized, heme-binding peroxidase involved in the degradation of heme; does not exhibit heme oxygenase activity despite similarity to heme oxygenases; expression regulated by AFT1"	HMX1	YLR205C	P32339	S000004195
10144_at	YLR206W similarity to human tricohyalin and protein KIAA0171	Epsin-like protein required for endocytosis and actin patch assembly and functionally redundant with Ent1p; contains clathrin-binding motif at C-terminus	ENT2	YLR206W	Q05785	S000004196
10145_at	YLR207W HMG-CoA Reductase Degradation	"Resident protein of the ER membrane that plays a central role in ER-associated protein degradation (ERAD), forms HRD complex with Hrd1p and ERAD determinants that engages in lumen to cytosol communication and coordination of ERAD events"	HRD3	YLR207W	Q05787	S000004197
10146_at	YLR208W cytoplasmic protein involved in release of transport vesicles from the ER	"Component of both the Nup84 nuclear pore sub-complex and of the COPII complex (Sar1p, Sec13p, Sec16p, Sec23p, Sec24p, Sec31p, Sfb2p, and Sfb3p) which is important for the formation of ER to Golgi transport vesicles"	SEC13	YLR208W	Q04491	S000004198
10147_at	YLR167W Ribosomal protein S31 (S37) (YS24)	Fusion protein that is cleaved to yield a ribosomal protein of the small (40S) subunit and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B	RPS31	YLR167W	P05759 /// P61864 /// Q07188	S000004157
10148_at	YLR168C probably involved in intramitochondrial protein sorting	---	---	YLR168C	P35200	S000004158
10149_at	YLR169W questionable ORF	---	---	YLR169W	O13561	S000004159
10150_at	"YLR170C clathrin-associated protein complex, small subunit"	"Small subunit of the clathrin-associated adaptor complex AP-1, which is involved in protein sorting at the trans-Golgi network; homolog of the sigma subunit of the mammalian clathrin AP-1 complex"	APS1	YLR170C	P35181	S000004160
10151_at	YLR171W questionable ORF	---	---	YLR171W	O13562	S000004161
10152_at	YLR172C S-adenosylmethionine (AdoMet)-dependent methyltransferase of diphthamide biosynthesis	"Methyltransferase required for synthesis of diphthamide, which is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); not essential for viability; GFP-Dph5p fusion protein localizes to the cytoplasm"	DPH5	YLR172C	P32469	S000004162
10153_at	YLR173W hypothetical protein	---	---	YLR173W	Q06247	S000004163
10154_at	YLR174W Cytosolic form of NADP-dependent isocitrate dehydrogenase	"Cytosolic NADP-specific isocitrate dehydrogenase, catalyzes oxidation of isocitrate to alpha-ketoglutarate; levels are elevated during growth on non-fermentable carbon sources and reduced during growth on glucose"	IDP2	YLR174W	P41939	S000004164
10155_at	YLR175W major low affinity 55 kDa Centromere\/microtubule binding protein	"Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2"	CBF5	YLR175W	P33322	S000004165
10156_at	"YLR176C DNA binding protein, homologous to a family of mammalian RFX1-4 proteins which have a novel highly conserved DNA binding domain"	"Major transcriptional repressor of DNA-damage-regulated genes, recruits repressors Tup1p and Cyc8p to their promoters; involved in DNA damage and replication checkpoint pathway; similar to a family of mammalian DNA binding RFX1-4 proteins"	RFX1	YLR176C	P48743	S000004166
10157_at	YLR177W similarity to suppressor protein Psp5p	---	---	YLR177W	Q06251	S000004167
10158_at	YLR178C suppressor of cdc25	"Carboxypeptidase Y inhibitor, function requires acetylation by the NatB N-terminal acetyltransferase; phosphatidylethanolamine-binding protein involved in protein kinase A signaling pathway"	TFS1	YLR178C	P14306	S000004168
10159_at	YLR179C similarity to Tfs1p	---	---	YLR179C	Q06252	S000004169
10160_at	YLR180W S-adenosylmethionine synthetase	"S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)"	SAM1	YLR180W	P10659	S000004170
10161_g_at	YLR180W S-adenosylmethionine synthetase	"S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p) /// S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)"	SAM1 /// SAM2	YDR502C /// YLR180W	P10659 /// P19358 /// Q6B194	S000002910 /// S000004170
10162_at	YLR181C hypothetical protein	"Multivesicular body (MVB) protein involved in endosomal protein sorting; regulates Vps4p activity by promoting its oligomerization; has an N-terminal Vps60- and Did2- binding domain, a linker region, and a C-terminal Vps4p binding domain"	VTA1	YLR181C	Q06263	S000004171
10163_at	YLR182W regulatory protein	"Transcription cofactor, forms complexes with DNA-binding proteins Swi4p and Mbp1p to regulate transcription at the G1/S transition; involved in meiotic gene expression; localization regulated by phosphorylation; potential Cdc28p substrate"	SWI6	YLR182W	P09959	S000004172
10164_at	YLR183C similarity to YDR501w	Forkhead Associated domain containing protein and putative transcription factor found associated with chromatin; target of SBF transcription factor; expression is periodic and peaks in G1; similar to PLM2	TOS4	YLR183C	Q06266	S000004173
10165_at	YLR184W weak similarity to ribulose-bisphosphate carboxylase	---	---	YLR184W	Q06267	S000004174
10166_at	YLR185W 60S ribosomal protein L37A (L43) (YL35)	"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl37Bp and to rat L37 ribosomal protein"	RPL37A	YLR185W	P49166	S000004175
10167_at	YLR186W strong similarity to S.pombe hypothetical protein C18G6.07C	Member of the alpha/beta knot fold methyltransferase superfamily; required for maturation of 18S rRNA and for 40S ribosome production; interacts with RNA and with S-adenosylmethionine; associates with spindle/microtubules; forms homodimers	EMG1	YLR186W	Q06287 /// Q6Q5L8	S000004176
10168_at	YLR187W similarity to hypothetical protein YNL278w	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; potential Cdc28p substrate; similar to Caf120p and Skg4p"	SKG3	YLR187W	Q06315	S000004177
10169_at	YLR188W ATP-binding cassette (ABC) transporter family member	"Mitochondrial inner membrane half-type ATP-binding cassette (ABC) transporter, mediates export of peptides generated upon proteolysis of mitochondrial proteins, plays a role in the regulation of cellular resistance to oxidative stress"	MDL1	YLR188W	P33310	S000004178
10170_g_at	YLR140W questionable ORF	"Protein involved in transcription of rDNA by RNA polymerase I; transcription factor, member of UAF (upstream activation factor) family along with Rrn9p and Rrn10p"	RRN5	YLR140W /// YLR141W	Q02983 /// Q12077	S000004130 /// S000004131
10171_at	"YLR141W transcription factor, member of UAF (upstream activation factor) along with Rrn9p and Rrn10p"	"Protein involved in transcription of rDNA by RNA polymerase I; transcription factor, member of UAF (upstream activation factor) family along with Rrn9p and Rrn10p"	RRN5	YLR141W	Q02983	S000004131
10172_at	YLR142W proline oxidase	"Proline oxidase, nuclear-encoded mitochondrial protein involved in utilization of proline as sole nitrogen source; PUT1 transcription is induced by Put3p in the presence of proline and the absence of a preferred nitrogen source"	PUT1	YLR142W	P09368	S000004132
10173_at	YLR143W weak similarity to Pyrococcus horikoshii hypothetical protein PHBJ017	---	---	YLR143W	Q12429	S000004133
10174_at	YLR144C Identified as an activity necessary for actin polymerization in permeabilized cells	"Intracellular beta-1,3-endoglucanase, expression is induced during sporulation; may have a role in cortical actin cytoskeleton assembly"	ACF2	YLR144C	Q12168	S000004134
10175_at	YLR145W hypothetical protein	"Subunit of RNase MRP, which processes pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; unlike most subunits, not shared between RNase MRP and nuclear RNase P"	RMP1	YLR145W	Q12530	S000004135
10176_at	YLR146C Spermine Synthase	"Spermine synthase, required for the biosynthesis of spermine and also involved in biosynthesis of pantothenic acid"	SPE4	YLR146C	Q12455	S000004136
10177_at	YLR147C encodes a core snRNP protein	"Core Sm protein Sm D3; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D3"	SMD3	YLR147C	P43321 /// Q6Q551	S000004137
10178_at	YLR148W vacuolar membrane protein	"Component of CORVET tethering complex; vacuolar peripheral membrane protein that promotes vesicular docking/fusion reactions in conjunction with SNARE proteins, required for vacuolar biogenesis"	PEP3	YLR148W	P27801	S000004138
10179_at	YLR149C hypothetical protein	---	---	YLR149C	Q99296	S000004139
10180_at	YLR150W specific affinity for guanine-rich quadruplex nucleic acids	Protein required for optimal translation under nutrient stress; involved in TOR signaling pathway; binds G4 quadruplex and purine motif triplex nucleic acid; acts with Cdc13p to maintain telomere structure	STM1	YLR150W	P39015	S000004140
10181_at	YLR151C weak similarity to A.thaliana hypothetical protein ATU78721	"Peroxisomal nudix pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids"	PCD1	YLR151C	Q12524	S000004141
10182_at	YLR152C similarity to YOR3165w and YNL095c	---	---	YLR152C	P54072	S000004142
10183_at	YLR153C acetyl-coenzyme A synthetase	"Acetyl-coA synthetase isoform which, along with Acs1p, is the nuclear source of acetyl-coA for histone acetylation; mutants affect global transcription; required for growth on glucose; expressed under anaerobic conditions"	ACS2	YLR153C	P52910	S000004143
10184_at	YLR154C hypothetical protein	"Ribonuclease H2 subunit, required for RNase H2 activity; related to human AGS3 that causes Aicardi-Goutieres syndrome"	RNH203	YLR154C	Q12338	S000004144
10185_s_at	YLR155C nitrogen catabolite-regulated cell-wall L-asparaginase II	"Cell-wall L-asparaginase II, involved in asparagine catabolism; expression is induced during nitrogen starvation; four copies of ASP3 are present in the genome reference strain S288C /// Cell-wall L-asparaginase II, involved in asparagine catabolism; expression is induced during nitrogen starvation; four copies of ASP3 are present in the genome reference strain S288C /// Cell-wall L-asparaginase II, involved in asparagine catabolism; expression is induced during nitrogen starvation; four copies of ASP3 are present in the genome reference strain S288C /// Cell-wall L-asparaginase II, involved in asparagine catabolism; expression is induced during nitrogen starvation; four copies of ASP3 are present in the genome reference strain S288C"	ASP3-1 /// ASP3-2 /// ASP3-3 /// ASP3-4	YLR155C /// YLR157C /// YLR158C /// YLR160C	P11163	S000004145 /// S000004147 /// S000004148 /// S000004150
10186_s_at	YLR156W identical to hypothetical proteins YLR161w and YLR159w	---	---	YLR156W /// YLR157W-D /// YLR159W /// YLR161W	Q12478	S000004146 /// S000004149 /// S000004151 /// S000028677
10187_at	YLR162W hypothetical protein	---	---	YLR162W	Q06235	S000004152
10188_at	YLR163C mitochondrial processing protease subunit	"Smaller subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins"	MAS1	YLR163C	P10507	S000004153
10189_at	YLR164W strong similarity to Sdh4p	---	---	YLR164W	Q06236	S000004154
10190_at	YLR165C weak similarity to H.influenzae hypothetical protein HI0176	"Pseudouridine synthase, catalyzes only the formation of pseudouridine (Psi)-2819 in mitochondrial 21S rRNA; not essential for viability"	PUS5	YLR165C	Q06244	S000004155
10191_at	"YLR166C 100 kD component of the Exocyst complex\; required for exocytosis. The Exocyst complex contains the gene products encoded by SEC3, SEC5, SEC6, SEC8, SEC10, SEC15 and EXO70."	"Essential 100kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis"	SEC10	YLR166C	Q06245	S000004156
10192_at	YLR119W suppressor of rna1-1 mutation	"Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; suppressor of rna1-1 mutation; may be involved in RNA export from nucleus"	SRN2	YLR119W	Q99176	S000004109
10193_at	YLR120C GPI-anchored aspartic protease	"Aspartic protease, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor"	YPS1	YLR120C	P32329	S000004110
10194_at	YLR121C GPI-anchored aspartic protease	"Aspartic protease, attached to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor"	YPS3	YLR121C	Q12303	S000004111
